product_id,product_name,category,subcategory,brand,gender,age_group,size,color,selling_season,supplier,cost_price,selling_price,profit_margin_percent,image_url,status,movement_type
P0043,King Street Tops Grey,Women,Tops,King Street,Women,Adult,S,Grey,All Season,Island Wear Ltd,1725.01,2242.51,30,https://coolplanet.lk/images/products/P0043.jpg,Active,Normal
P0044,Miss Modano Jackets Purple,Women,Jackets,Miss Modano,Women,Adult,S,Purple,Winter,Fashion Hub PVT,3287.87,4833.17,47,https://coolplanet.lk/images/products/P0044.jpg,Active,Normal
P0045,King Street Wallets Blue,Accessories,Wallets,King Street,Men,Adult,L,Blue,All Season,Kandy Mills,1114.57,1471.23,32,https://coolplanet.lk/images/products/P0045.jpg,Active,Trending
P0046,Modano Skirts Cream,Women,Skirts,Modano,Women,Adult,XXL,Cream,Festive,Blue Horizon Apparel,2369.56,3388.47,43,https://coolplanet.lk/images/products/P0046.jpg,Active,Normal
P0047,King Street Wallets Grey,Accessories,Wallets,King Street,Women,Adult,M,Grey,Festive,Sunrise Fashion,1992.83,2750.11,38,https://coolplanet.lk/images/products/P0047.jpg,Active,Trending
P0048,Hustle Shoes Yellow,Footwear,Shoes,Hustle,Kids,Kids,44,Yellow,All Season,Island Wear Ltd,2176.13,2828.97,30,https://coolplanet.lk/images/products/P0048.jpg,Active,Normal
P0049,Miss Modano Trousers Teal,Men,Trousers,Miss Modano,Men,Adult,XS,Teal,All Season,Kandy Mills,2265.83,3194.82,41,https://coolplanet.lk/images/products/P0049.jpg,Active,Normal
P0050,Emerald Sneakers Olive,Footwear,Sneakers,Emerald,Unisex,Adult,41,Olive,All Season,Kandy Mills,3838.2,5411.86,41,https://coolplanet.lk/images/products/P0050.jpg,Active,Normal
P0051,Hustle Girls Wear Grey,Kids,Girls Wear,Hustle,Kids,Kids,8Y,Grey,All Season,Sunrise Fashion,1155.01,1605.46,39,https://coolplanet.lk/images/products/P0051.jpg,Active,Normal
P0052,Miss Modano Trousers Charcoal,Men,Trousers,Miss Modano,Men,Adult,L,Charcoal,Summer,Fashion Hub PVT,3093.99,4579.1,48,https://coolplanet.lk/images/products/P0052.jpg,Active,Normal
P0053,Hustle Dresses Purple,Women,Dresses,Hustle,Women,Adult,L,Purple,All Season,Island Wear Ltd,4011.5,5495.75,37,https://coolplanet.lk/images/products/P0053.jpg,Active,Slow Moving
P0054,Modano Dresses Black,Women,Dresses,Modano,Women,Adult,XS,Black,Back to School,Sunrise Fashion,1976.02,2904.75,47,https://coolplanet.lk/images/products/P0054.jpg,Active,Fast Moving
P0055,King Street Shirts Beige,Men,Shirts,King Street,Men,Adult,XL,Beige,All Season,Sunrise Fashion,1101.06,1519.46,38,https://coolplanet.lk/images/products/P0055.jpg,Active,Trending
P0056,Modano T-Shirts Blue,Women,T-Shirts,Modano,Women,Adult,XXL,Blue,Summer,Colombo Garments,3809.59,5600.09,47,https://coolplanet.lk/images/products/P0056.jpg,Active,Normal
P0057,Libera Polo Shirts Purple,Men,Polo Shirts,Libera,Men,Adult,S,Purple,All Season,Sunrise Fashion,3534.7,4736.5,34,https://coolplanet.lk/images/products/P0057.jpg,Active,Trending
P0058,King Street Jackets Coral,Women,Jackets,King Street,Women,Adult,M,Coral,All Season,Fashion Hub PVT,3527.23,4867.58,38,https://coolplanet.lk/images/products/P0058.jpg,Active,Normal
P0059,Libera Sandals Maroon,Footwear,Sandals,Libera,Men,Adult,43,Maroon,Winter,Sunrise Fashion,4506.31,5903.26,31,https://coolplanet.lk/images/products/P0059.jpg,Active,Normal
P0060,King Street Kids Shorts Maroon,Kids,Kids Shorts,King Street,Kids,Kids,10Y,Maroon,All Season,Colombo Garments,1051.98,1399.14,33,https://coolplanet.lk/images/products/P0060.jpg,Active,Normal
P0061,Modano Belts Coral,Accessories,Belts,Modano,Women,Adult,L,Coral,All Season,Lanka Textiles,1772.46,2623.24,48,https://coolplanet.lk/images/products/P0061.jpg,Active,Trending
P0062,Modano Sandals Charcoal,Footwear,Sandals,Modano,Kids,Kids,40,Charcoal,Summer,Colombo Garments,4550.05,6779.57,49,https://coolplanet.lk/images/products/P0062.jpg,Active,Fast Moving
P0063,Miss Modano Girls Wear Olive,Kids,Girls Wear,Miss Modano,Kids,Kids,2Y,Olive,All Season,Island Wear Ltd,924.04,1312.13,42,https://coolplanet.lk/images/products/P0063.jpg,Active,Normal
P0064,Libera Kids Shorts Maroon,Kids,Kids Shorts,Libera,Kids,Kids,10Y,Maroon,All Season,Island Wear Ltd,1112.4,1490.61,34,https://coolplanet.lk/images/products/P0064.jpg,Active,Slow Moving
P0065,Modano T-Shirts Red,Men,T-Shirts,Modano,Men,Adult,XXL,Red,Summer,Sunrise Fashion,1278.23,1891.78,48,https://coolplanet.lk/images/products/P0065.jpg,Active,Normal
P0066,Hustle Caps Beige,Accessories,Caps,Hustle,Men,Adult,M,Beige,All Season,Blue Horizon Apparel,267.52,366.5,37,https://coolplanet.lk/images/products/P0066.jpg,Active,Trending
P0067,Emerald Polo Shirts Olive,Men,Polo Shirts,Emerald,Men,Adult,XS,Olive,Summer,Island Wear Ltd,2430.46,3475.56,43,https://coolplanet.lk/images/products/P0067.jpg,Active,Slow Moving
P0068,Hustle Jeans Navy,Women,Jeans,Hustle,Women,Adult,XS,Navy,Summer,Colombo Garments,3777.92,5024.64,33,https://coolplanet.lk/images/products/P0068.jpg,Active,Trending
P0069,Modano Tops Teal,Women,Tops,Modano,Women,Adult,XL,Teal,Summer,Kandy Mills,3214.01,4596.04,43,https://coolplanet.lk/images/products/P0069.jpg,Active,Normal
P0070,Miss Modano Skirts Pink,Women,Skirts,Miss Modano,Women,Adult,XS,Pink,Winter,Kandy Mills,3672.99,5362.56,46,https://coolplanet.lk/images/products/P0070.jpg,Active,Trending
P0071,Miss Modano Girls Wear Blue,Kids,Girls Wear,Miss Modano,Kids,Kids,4Y,Blue,All Season,Sunrise Fashion,1118.39,1666.4,49,https://coolplanet.lk/images/products/P0071.jpg,Active,Normal
P0072,Emerald Shorts Cream,Men,Shorts,Emerald,Men,Adult,S,Cream,All Season,Sunrise Fashion,3861.77,5290.62,37,https://coolplanet.lk/images/products/P0072.jpg,Active,Normal
P0073,Libera Shirts Green,Men,Shirts,Libera,Men,Adult,S,Green,All Season,Lanka Textiles,1302.81,1745.76,34,https://coolplanet.lk/images/products/P0073.jpg,Active,Normal
P0074,Modano Wallets Cream,Accessories,Wallets,Modano,Men,Adult,L,Cream,Back to School,Island Wear Ltd,1816.59,2652.22,46,https://coolplanet.lk/images/products/P0074.jpg,Active,Normal
P0075,Emerald Caps Brown,Accessories,Caps,Emerald,Unisex,Adult,S,Brown,Back to School,Blue Horizon Apparel,2936.81,4229.01,44,https://coolplanet.lk/images/products/P0075.jpg,Active,Normal
P0076,Miss Modano Sandals Blue,Footwear,Sandals,Miss Modano,Men,Adult,43,Blue,Back to School,Blue Horizon Apparel,2179.37,3160.08,45,https://coolplanet.lk/images/products/P0076.jpg,Active,Normal
P0077,Hustle Wallets Maroon,Accessories,Wallets,Hustle,Women,Adult,One Size,Maroon,Festive,Sunrise Fashion,1370.43,1850.08,35,https://coolplanet.lk/images/products/P0077.jpg,Active,Normal
P0078,Emerald Skirts Cream,Women,Skirts,Emerald,Women,Adult,M,Cream,All Season,Island Wear Ltd,4763.75,6812.16,43,https://coolplanet.lk/images/products/P0078.jpg,Active,Normal
P0079,Emerald Jackets Maroon,Men,Jackets,Emerald,Men,Adult,XL,Maroon,All Season,Island Wear Ltd,3221.49,4349.01,35,https://coolplanet.lk/images/products/P0079.jpg,Active,Normal
P0080,Miss Modano Jeans Pink,Men,Jeans,Miss Modano,Men,Adult,XXL,Pink,Summer,Sunrise Fashion,651.73,964.56,48,https://coolplanet.lk/images/products/P0080.jpg,Active,Normal
P0081,Hustle Jeans Teal,Men,Jeans,Hustle,Men,Adult,S,Teal,Back to School,Island Wear Ltd,4350.51,6003.7,38,https://coolplanet.lk/images/products/P0081.jpg,Active,Normal
P0082,Modano Shorts Khaki,Men,Shorts,Modano,Men,Adult,L,Khaki,All Season,Colombo Garments,4315.8,6387.39,48,https://coolplanet.lk/images/products/P0082.jpg,Active,Normal
P0083,Hustle Jeans Navy,Men,Jeans,Hustle,Men,Adult,L,Navy,All Season,Lanka Textiles,4038.16,5289.99,31,https://coolplanet.lk/images/products/P0083.jpg,Active,Normal
P0084,Miss Modano Skirts Green,Women,Skirts,Miss Modano,Women,Adult,L,Green,All Season,Blue Horizon Apparel,2880.74,4177.08,45,https://coolplanet.lk/images/products/P0084.jpg,Active,Non Moving
P0085,Hustle Belts Purple,Accessories,Belts,Hustle,Unisex,Adult,L,Purple,All Season,Sunrise Fashion,2923.16,3800.11,30,https://coolplanet.lk/images/products/P0085.jpg,Active,Normal
P0086,Emerald Belts White,Accessories,Belts,Emerald,Women,Adult,M,White,Festive,Island Wear Ltd,3083.0,4408.69,43,https://coolplanet.lk/images/products/P0086.jpg,Active,Fast Moving
P0087,Emerald T-Shirts Green,Men,T-Shirts,Emerald,Men,Adult,M,Green,All Season,Island Wear Ltd,3131.35,4352.58,39,https://coolplanet.lk/images/products/P0087.jpg,Active,Normal
P0088,Modano Sneakers Yellow,Footwear,Sneakers,Modano,Unisex,Adult,43,Yellow,Festive,Fashion Hub PVT,1102.58,1587.71,44,https://coolplanet.lk/images/products/P0088.jpg,Active,Trending
P0089,Libera Tops Maroon,Women,Tops,Libera,Women,Adult,XXL,Maroon,Winter,Colombo Garments,1066.56,1333.2,25,https://coolplanet.lk/images/products/P0089.jpg,Active,Normal
P0090,Hustle Jackets Pink,Men,Jackets,Hustle,Men,Adult,L,Pink,Winter,Island Wear Ltd,1576.93,2191.93,39,https://coolplanet.lk/images/products/P0090.jpg,Active,Normal
P0091,Modano Shirts Charcoal,Men,Shirts,Modano,Men,Adult,L,Charcoal,Back to School,Island Wear Ltd,1106.69,1615.77,46,https://coolplanet.lk/images/products/P0091.jpg,Active,Normal
P0092,Emerald Sandals Teal,Footwear,Sandals,Emerald,Kids,Kids,43,Teal,Back to School,Lanka Textiles,8790.1,11866.64,35,https://coolplanet.lk/images/products/P0092.jpg,Active,Normal
P0093,King Street T-Shirts Purple,Women,T-Shirts,King Street,Women,Adult,XS,Purple,Summer,Lanka Textiles,2386.62,3102.6,30,https://coolplanet.lk/images/products/P0093.jpg,Active,Normal
P0094,Emerald Jackets Brown,Women,Jackets,Emerald,Women,Adult,XXL,Brown,Winter,Sunrise Fashion,4597.78,6436.89,40,https://coolplanet.lk/images/products/P0094.jpg,Active,Normal
P0095,Modano Tops Grey,Women,Tops,Modano,Women,Adult,XL,Grey,All Season,Kandy Mills,3739.82,5460.14,46,https://coolplanet.lk/images/products/P0095.jpg,Active,Normal
P0096,Emerald Boys Wear Cream,Kids,Boys Wear,Emerald,Kids,Kids,6Y,Cream,All Season,Lanka Textiles,492.33,679.41,38,https://coolplanet.lk/images/products/P0096.jpg,Active,Slow Moving
P0097,Miss Modano Jackets Khaki,Men,Jackets,Miss Modano,Men,Adult,M,Khaki,Winter,Kandy Mills,1606.19,2264.73,41,https://coolplanet.lk/images/products/P0097.jpg,Active,Normal
P0098,Libera T-Shirts Cream,Women,T-Shirts,Libera,Women,Adult,S,Cream,Summer,Sunrise Fashion,4532.51,6118.89,35,https://coolplanet.lk/images/products/P0098.jpg,Active,Normal
P0099,King Street Sneakers Navy,Footwear,Sneakers,King Street,Kids,Kids,36,Navy,All Season,Lanka Textiles,1905.83,2534.76,33,https://coolplanet.lk/images/products/P0099.jpg,Active,Normal
P0100,Miss Modano Kids T-Shirts Grey,Kids,Kids T-Shirts,Miss Modano,Kids,Kids,10Y,Grey,All Season,Colombo Garments,2295.95,3237.29,41,https://coolplanet.lk/images/products/P0100.jpg,Active,Normal
P0101,Emerald Jackets Maroon,Women,Jackets,Emerald,Women,Adult,XS,Maroon,Winter,Island Wear Ltd,1938.89,2617.5,35,https://coolplanet.lk/images/products/P0101.jpg,Active,Trending
P0102,Modano Kids Shorts Orange,Kids,Kids Shorts,Modano,Kids,Kids,12Y,Orange,All Season,Sunrise Fashion,1552.98,2220.76,43,https://coolplanet.lk/images/products/P0102.jpg,Active,Trending
P0103,Emerald Trousers Brown,Men,Trousers,Emerald,Men,Adult,M,Brown,All Season,Colombo Garments,2452.04,3334.77,36,https://coolplanet.lk/images/products/P0103.jpg,Active,Normal
P0104,Hustle Sneakers White,Footwear,Sneakers,Hustle,Kids,Kids,39,White,Back to School,Kandy Mills,8544.27,11449.32,34,https://coolplanet.lk/images/products/P0104.jpg,Active,Normal
P0105,Hustle Boys Wear Yellow,Kids,Boys Wear,Hustle,Kids,Kids,4Y,Yellow,All Season,Kandy Mills,457.23,612.69,34,https://coolplanet.lk/images/products/P0105.jpg,Active,Normal
P0106,King Street Shoes Green,Footwear,Shoes,King Street,Kids,Kids,45,Green,All Season,Colombo Garments,7932.42,10470.79,32,https://coolplanet.lk/images/products/P0106.jpg,Active,Normal
P0107,Emerald Shoes Green,Footwear,Shoes,Emerald,Men,Adult,39,Green,Summer,Lanka Textiles,958.35,1370.44,43,https://coolplanet.lk/images/products/P0107.jpg,Active,Fast Moving
P0108,Modano Boys Wear Cream,Kids,Boys Wear,Modano,Kids,Kids,10Y,Cream,All Season,Colombo Garments,1217.04,1801.22,48,https://coolplanet.lk/images/products/P0108.jpg,Active,Normal
P0109,Modano Sneakers Cream,Footwear,Sneakers,Modano,Kids,Kids,36,Cream,All Season,Island Wear Ltd,4395.17,6373.0,45,https://coolplanet.lk/images/products/P0109.jpg,Active,Normal
P0110,Hustle Sandals Navy,Footwear,Sandals,Hustle,Men,Adult,38,Navy,All Season,Sunrise Fashion,3066.3,4170.17,36,https://coolplanet.lk/images/products/P0110.jpg,Active,Normal
P0111,Miss Modano Skirts Cream,Women,Skirts,Miss Modano,Women,Adult,L,Cream,All Season,Kandy Mills,3606.49,5121.21,42,https://coolplanet.lk/images/products/P0111.jpg,Active,Normal
P0112,King Street Girls Wear Cream,Kids,Girls Wear,King Street,Kids,Kids,8Y,Cream,Back to School,Island Wear Ltd,2180.15,2965.0,36,https://coolplanet.lk/images/products/P0112.jpg,Active,Normal
P0113,Libera Jackets Orange,Women,Jackets,Libera,Women,Adult,XXL,Orange,All Season,Kandy Mills,863.8,1122.94,30,https://coolplanet.lk/images/products/P0113.jpg,Active,Fast Moving
P0114,Emerald Sandals Teal,Footwear,Sandals,Emerald,Women,Adult,44,Teal,Summer,Island Wear Ltd,5818.03,8436.14,45,https://coolplanet.lk/images/products/P0114.jpg,Active,Non Moving
P0115,Modano Sneakers Pink,Footwear,Sneakers,Modano,Men,Adult,41,Pink,All Season,Colombo Garments,4671.37,6680.06,43,https://coolplanet.lk/images/products/P0115.jpg,Active,Normal
P0116,Modano Jackets Red,Men,Jackets,Modano,Men,Adult,XL,Red,Winter,Kandy Mills,3830.61,5401.16,41,https://coolplanet.lk/images/products/P0116.jpg,Active,Normal
P0117,Emerald Boys Wear Black,Kids,Boys Wear,Emerald,Kids,Kids,12Y,Black,Back to School,Lanka Textiles,2394.68,3256.77,36,https://coolplanet.lk/images/products/P0117.jpg,Active,Fast Moving
P0118,Modano Kids Shorts Green,Kids,Kids Shorts,Modano,Kids,Kids,2Y,Green,Summer,Colombo Garments,1820.77,2712.95,49,https://coolplanet.lk/images/products/P0118.jpg,Active,Non Moving
P0119,Miss Modano Polo Shirts Coral,Men,Polo Shirts,Miss Modano,Men,Adult,XS,Coral,All Season,Fashion Hub PVT,3617.22,5100.28,41,https://coolplanet.lk/images/products/P0119.jpg,Active,Normal
P0120,Hustle Kids Shorts Maroon,Kids,Kids Shorts,Hustle,Kids,Kids,14Y,Maroon,Summer,Fashion Hub PVT,1057.58,1470.04,39,https://coolplanet.lk/images/products/P0120.jpg,Active,Slow Moving
P0121,Hustle Kids T-Shirts Grey,Kids,Kids T-Shirts,Hustle,Kids,Kids,10Y,Grey,Summer,Lanka Textiles,323.53,423.83,31,https://coolplanet.lk/images/products/P0121.jpg,Active,Normal
P0122,Emerald Sandals Red,Footwear,Sandals,Emerald,Kids,Kids,42,Red,All Season,Sunrise Fashion,3845.1,5306.24,38,https://coolplanet.lk/images/products/P0122.jpg,Active,Trending
P0123,King Street Sandals Purple,Footwear,Sandals,King Street,Men,Adult,36,Purple,Summer,Fashion Hub PVT,4403.82,6165.35,40,https://coolplanet.lk/images/products/P0123.jpg,Active,Normal
P0124,Hustle Kids Shorts Red,Kids,Kids Shorts,Hustle,Kids,Kids,6Y,Red,Summer,Blue Horizon Apparel,2089.93,2884.1,38,https://coolplanet.lk/images/products/P0124.jpg,Active,Normal
P0125,Miss Modano Jeans Grey,Women,Jeans,Miss Modano,Women,Adult,L,Grey,Summer,Lanka Textiles,2128.89,3193.33,50,https://coolplanet.lk/images/products/P0125.jpg,Active,Normal
P0126,Miss Modano Shoes Khaki,Footwear,Shoes,Miss Modano,Men,Adult,41,Khaki,All Season,Sunrise Fashion,7803.25,11548.81,48,https://coolplanet.lk/images/products/P0126.jpg,Active,Normal
P0127,Emerald T-Shirts Charcoal,Men,T-Shirts,Emerald,Men,Adult,XXL,Charcoal,Summer,Kandy Mills,1311.4,1809.73,38,https://coolplanet.lk/images/products/P0127.jpg,Active,Normal
P0128,Emerald Kids Shorts Yellow,Kids,Kids Shorts,Emerald,Kids,Kids,2Y,Yellow,All Season,Lanka Textiles,1273.99,1770.84,39,https://coolplanet.lk/images/products/P0128.jpg,Active,Normal
P0129,Miss Modano Dresses Cream,Women,Dresses,Miss Modano,Women,Adult,XS,Cream,All Season,Sunrise Fashion,1718.21,2508.59,46,https://coolplanet.lk/images/products/P0129.jpg,Active,Normal
P0130,Miss Modano Kids Shorts Coral,Kids,Kids Shorts,Miss Modano,Kids,Kids,14Y,Coral,Summer,Kandy Mills,1245.95,1794.17,44,https://coolplanet.lk/images/products/P0130.jpg,Active,Normal
P0131,Emerald Girls Wear Cream,Kids,Girls Wear,Emerald,Kids,Kids,14Y,Cream,Back to School,Fashion Hub PVT,2478.71,3445.4,39,https://coolplanet.lk/images/products/P0131.jpg,Active,Normal
P0132,Miss Modano Jeans Khaki,Women,Jeans,Miss Modano,Women,Adult,S,Khaki,All Season,Island Wear Ltd,4533.57,6483.0,43,https://coolplanet.lk/images/products/P0132.jpg,Active,Normal
P0133,Emerald Kids T-Shirts Yellow,Kids,Kids T-Shirts,Emerald,Kids,Kids,12Y,Yellow,All Season,Sunrise Fashion,902.01,1280.86,42,https://coolplanet.lk/images/products/P0133.jpg,Active,Normal
P0134,Miss Modano Girls Wear Navy,Kids,Girls Wear,Miss Modano,Kids,Kids,4Y,Navy,Back to School,Sunrise Fashion,958.96,1361.72,42,https://coolplanet.lk/images/products/P0134.jpg,Active,Normal
P0135,Hustle Boys Wear Teal,Kids,Boys Wear,Hustle,Kids,Kids,14Y,Teal,Back to School,Sunrise Fashion,2132.02,2920.87,37,https://coolplanet.lk/images/products/P0135.jpg,Active,Normal
P0136,Miss Modano Bags Maroon,Accessories,Bags,Miss Modano,Unisex,Adult,One Size,Maroon,All Season,Colombo Garments,764.83,1147.24,50,https://coolplanet.lk/images/products/P0136.jpg,Active,Slow Moving
